ClienteID,Income,Ubicacion,HaComprado,FrecuenciaCompra,CategoríaProductoFavorito,GastoMensual,Mes,Año,Edad,TiempoEnLaPlataforma,ValoracionesPromedio,NúmeroDevoluciones,Latitud,Longitud
1,31161.480790882026,Rome,1,3,Electrónica,131.5718605257502,Julio,2022,53,29,1.302420162467003,2,41.91125207514188,12.501644241166282
2,30880.90461026161,Stockholm,1,6,Moda,43.6555100891286,Abril,2022,55,28,2.4627229930454853,0,59.331134339377854,18.06244046738273
3,24237.173141699925,Stockholm,1,2,Electrónica,188.7221450279832,Noviembre,2021,28,11,1.9015250720270636,1,59.33263371303785,18.0710675913192
4,22496.15803396413,Madrid,0,0,Libros,65.89068558228242,Agosto,2020,50,1,1.78333233653708,0,40.42294815022744,-3.7044128479207057
5,30825.11399054669,Paris,1,2,Electrónica,46.38453970985004,Mayo,2020,41,43,1.5632117955707043,0,48.85774626415957,2.345577701084724
6,25720.35541085316,Berlin,1,6,Libros,145.37083786488412,Julio,2021,40,19,3.489654566263986,1,52.52077250770569,13.39290223622714
7,29801.819289801904,Madrid,0,0,Hogar,1.1042023874619544,Octubre,2020,32,9,4.125287422989221,0,40.435110463841625,-3.722653382718078
8,27326.68629074968,Stockholm,0,0,Hogar,1.5387104540800602,Marzo,2021,44,27,3.3131935976814426,0,59.32099932579779,18.067324920527145
9,21057.51747509752,Paris,1,5,Alimentos,49.45364737348612,Julio,2021,28,34,1.5878508383528387,0,48.86293229758024,2.349708672997341
10,31786.52270968317,Vienna,1,6,Moda,7.482513167639166,Noviembre,2022,68,44,4.244495079733884,0,48.20373508263902,16.37496342367781
11,27927.340973050545,Paris,1,3,Alimentos,22.863603832553245,Noviembre,2021,67,4,3.543818828654914,0,48.850480093416486,2.3695147076050653
12,30400.993562704072,Stockholm,1,4,Libros,82.75812868100617,Agosto,2022,34,36,2.552662824507982,1,59.33775290279208,18.06864743639944
13,25534.398631853885,Madrid,1,8,Alimentos,324.4901218851292,Mayo,2020,68,18,3.696521182144252,0,40.4064730396411,-3.6895720551626017
14,28325.91376302633,Vienna,1,4,Electrónica,169.74914851826256,Abril,2020,31,15,2.0396199169713314,2,48.198934258869656,16.373295380120872
15,37801.9007056644,Rome,1,10,Libros,143.7618201976125,Agosto,2020,44,13,2.380768833976842,1,41.89952646788541,12.50481071770205
16,30642.75500035541,Amsterdam,1,4,Hogar,69.48325140732948,Agosto,2020,35,19,4.66994337252796,0,52.357840060545456,4.905156297514367
17,32747.88172531334,Berlin,1,5,Moda,536.9264687172432,Marzo,2022,45,6,2.1620180226856816,0,52.52962654324267,13.40440071950096
18,23645.6409656198,Paris,1,10,Libros,101.17260531493366,Junio,2020,68,12,2.8799530726317464,0,48.84001612120651,2.371098455601116
19,41945.17978696231,Stockholm,1,3,Libros,18.224202023315115,Mayo,2021,64,37,4.5605645495840585,0,59.32966020862752,18.07088372488638
20,39217.068791602665,Stockholm,1,4,Electrónica,191.9787952419908,Febrero,2021,64,17,3.83088540107011,2,59.32403219565416,18.068269961702136
21,36817.17745475852,Lisbon,1,7,Moda,24.171188974132583,Agosto,2021,21,23,1.248812904658811,0,38.7180489695175,-9.16480624947988
22,34143.829888024375,Amsterdam,1,5,Hogar,84.69215548465311,Diciembre,2022,24,26,1.5892121771158814,1,52.35972320707095,4.910849450392375
23,30075.71639129932,Lisbon,1,10,Libros,141.61640594394922,Junio,2020,62,29,1.0313663630876673,0,38.70668919713239,-9.157602503710082
24,32210.370084333656,Paris,1,4,Libros,414.6482004597833,Febrero,2020,52,33,3.5236871609166536,1,48.856796458050006,2.3629498852545003
25,35240.09871997476,Rome,1,2,Electrónica,136.0645849311906,Diciembre,2020,65,27,2.7906937016416733,1,41.89403893037158,12.497936158392765
26,26857.151262621468,Rome,1,3,Alimentos,242.30610241850204,Mayo,2022,26,25,1.537099403609102,2,41.89518420885681,12.487129221016511
27,27777.50627890409,Amsterdam,1,5,Hogar,987.203148395622,Enero,2021,25,10,4.831736484227082,1,52.35865487904325,4.910783282164169
28,21654.33820454734,Madrid,0,0,Moda,28.195033183196312,Diciembre,2021,69,47,3.1186388957824795,0,40.39387834901768,-3.7310909181352634
29,26140.904611216225,Paris,1,4,Libros,64.24267660938034,Octubre,2020,62,23,1.9675731764515567,3,48.854115995485714,2.365959738877681
30,38306.50865304077,London,1,3,Libros,100.36527296729498,Junio,2021,34,21,3.00241428461883,1,51.49789633505957,-0.1309314952989633
31,28328.764544248163,Lisbon,1,8,Hogar,109.5768371042928,Diciembre,2021,34,21,3.718481330940431,1,38.69469535195383,-9.142355289151908
32,28410.765467447083,Madrid,0,0,Alimentos,105.87297548125656,Septiembre,2022,66,43,1.304956871894258,2,40.42145678483823,-3.699545576774872
33,31588.835162185595,Paris,1,8,Libros,476.3494765423829,Enero,2022,50,13,2.098815260191568,1,48.849897067686975,2.344821327226525
34,21938.863464127386,Berlin,1,3,Hogar,250.37552323388508,Noviembre,2022,49,37,4.227861963535974,0,52.504264944757466,13.39967193282585
35,34726.90845043783,Berlin,1,3,Electrónica,187.2503335263505,Noviembre,2022,25,33,2.838659481610645,2,52.50397978675492,13.41566383778848
36,36332.034276864375,Rome,1,5,Alimentos,74.03099796587978,Octubre,2020,36,24,3.18630856812918,0,41.91212548595496,12.505801489133331
37,31886.481327302045,Amsterdam,1,11,Moda,347.21619877554224,Diciembre,2022,55,44,2.731264008837877,0,52.37490142198751,4.906115842986792
38,38256.75493239745,Amsterdam,0,0,Libros,620.4876787596312,Diciembre,2021,20,11,1.1755997705720205,0,52.37161731394488,4.899804116053608
39,23365.841169320516,Prague,1,4,Hogar,344.29556217301325,Marzo,2020,22,17,1.6629991192806235,1,50.080730816806906,14.436025981977595
40,39218.57898875923,Madrid,1,3,Electrónica,0.3132662496083496,Diciembre,2021,30,4,2.782166554967564,0,40.415721040386615,-3.688333406377491
41,26346.29298385173,Lisbon,1,8,Moda,202.34093701342425,Julio,2021,64,47,1.8367418616317115,1,38.70921510133583,-9.15021762329833
42,23600.40133368435,Berlin,0,0,Hogar,10.497829499008912,Abril,2021,63,25,1.199916114638715,0,52.53698567164515,13.38724897179404
43,28813.04019396665,Madrid,1,3,Hogar,59.57536464449513,Septiembre,2022,48,30,4.374598656207295,0,40.4159380579048,-3.679031951975528
44,39360.02840236152,Lisbon,1,3,Moda,12.273978716393264,Marzo,2022,33,9,4.924770116656463,0,38.728921780469086,-9.136515575547271
45,29902.789295502254,Berlin,1,6,Electrónica,185.1649336257584,Mayo,2020,67,21,4.172571495986958,2,52.50998976716918,13.398731019562575
